id,Name,info
0,玉山銀行,"  6/1-21單筆滿$15,000贈1,000  6/1-21單筆滿$25,000贈2,500  6/22-30單筆滿$18,000贈1,100  6/1-30U Bear卡單筆滿$3333最高10%回饋 "
1,國泰世華銀行,"  6/1-30單筆滿$6,000贈250  6/1-30單筆滿$22,000贈1,000  6/14-21單筆滿$16,000贈1,200  6/14-21單筆滿$32,000贈3,000 "
2,中國信託銀行,"  指定卡別筆筆最高10%現金回饋  週四單筆滿$2,000贈120  6/1-9單筆滿$15,000贈500  6/1-9單筆滿$3,000贈150  6/1-30分期消費贈5%刷卡金  6/10-21單筆滿$15,000贈1,000 "
3,台新銀行,"  6/18-21單筆滿$12,000贈1,200  6/18-21單筆滿$35,000贈3,000  6/1-30單筆最高贈6%  週六指定卡別最高贈6% "
4,momo卡,  新戶限定滿$666送$200  6/1-30650大品牌最高回饋10%  6/1-30新卡友迎新禮限時5%回饋  6/1-30推薦好友送$200無上限  天天筆筆回饋3%無上限 
5,linebank,  每週六日週週首筆不限金額最高11% 
6,永豐銀行,"  6/1-30累積滿$100,000 再贈3,000   6/1-30累積滿$25,000贈1,500  6/1-30累積滿$18,000贈1,000  6/1-30累積滿$5,000 贈200   6/10-21累積滿$15,000 贈1,500   6/10-21累積滿$35,000贈3,500 "
7,遠東商銀,"  6/8、18、28單筆滿$8,888贈888  6/1-30單筆滿$5,000贈150  6/1-30單筆滿$25,000贈1,000  6/1-30單筆滿$50,000贈2,500  6/1-30任兩筆皆滿$1,000贈100點  行動支付不限金額回饋5%  週五單筆滿$1,288贈100 "
8,聯邦銀行,"  6/10-21單筆滿$10,000贈1,000  6/10-21單筆滿$20,000贈2,000  6/18單筆滿$5,618贈618  6/1-30累積滿$6,000贈300  6/1-30累積滿$25,000贈1,500  週日單筆滿$1,000贈100 "
9,花旗銀行,"  6/1-30單筆滿$5,000贈300  6/1-30單筆滿$25,000贈2,000  6/10-22單筆滿$15,000贈1,500  6/10-22單筆滿$35,000贈3,500  6/25-30單筆滿$12,000贈1,200  週一單筆滿$888贈50 "
10,第一銀行,"  6/1-30單筆滿$3,000贈180  6/1-30單筆滿$35,000贈2,200  6/1-30累積滿$50,000贈4,000  6/1-30累積滿$100,000贈10,000  6/10-21單筆滿$6,000贈1,200  6/10-21單筆滿$15,000贈2,600   6/10-21單筆滿$25,000贈4,500  週一單筆滿$888贈50 "
11,樂天信用卡,"  六日限定JCB卡不限金額2%回饋  6/1-30消費滿$10,000贈禮券$500  6/1-30不限金額2%回饋  6/1-30累積滿$6,000贈150  6/1-30累積滿$12,000贈350  6/1-30累積滿$30,000贈888  6/1-30累積滿$50,000贈1,600 "
12,凱基銀行,"  6/1-30累積滿$3,000贈10%  6/1-30累積滿$35,000贈2,800  6/1-30累積滿$50,000贈4,000  6/10-21單筆滿$15,000贈1,500  6/10-21單筆滿$25,000贈2,500  限期單筆滿$1,000贈100 "
13,星展銀行,"  6/1-30單筆滿$5,000贈6%	  6/7-21單筆滿$20,000贈2,200	  6/7-21單筆滿$30,000贈3,000	  6/7-21累積滿$100,000贈5,000	  週二限定單筆滿$3,000贈200 "
14,unionpay,"  6/1-30單筆滿5,000贈300  6/1-30單筆滿15,000贈1200  6/1-30單筆滿30,000贈2800  6/1-30單筆滿50,000贈5000  限定單筆滿1,000現折150  限定單筆滿5,000現折300  限定單筆滿15,000現折1200  限定單筆滿30,000現折3000 "
15,fubonchina,"  限定單筆滿1,000現折150  限定單筆滿5,000現折300  限定單筆滿15,000現折1200  限定單筆滿30,000現折3000  6/1-30單筆滿5,000贈300  6/1-30單筆滿15,000贈1200  6/1-30單筆滿30,000贈2800  6/1-30單筆滿50,000贈5000 "
16,渣打銀行,"  6/1-30單筆滿$3,000贈150  6/1-30單筆滿$50,000贈2,500  6/18-21單筆滿$15,000贈1,500 "
17,新光銀行,"  6/1-30累積滿$30,000贈1,800 "
18,上海商銀,"  6/1-30單筆滿$5,000贈300  6/1-30單筆滿$30,000贈2,000  6/18-21單筆滿$50,000贈4,000 "
19,兆豐銀行,"  6/1-30單筆滿$5,000贈400  6/1-30單筆滿$12,000贈1,000  6/15-20單筆滿$6,000贈618  週二單筆滿$2,000加贈120 "
20,華南銀行,"  6/1-30單筆滿$50,000贈3,000  6/1-30單筆滿$35,000贈1,750  6/18-21單筆滿$20,000贈2,000 "
21,美國運通,"  6/1-30單筆滿$15,000贈900  6/1-30單筆滿$5,000加贈1倍積分  6/1-30指定卡別享積分雙倍折抵  週五指定卡別單筆滿$2,000贈100 "
22,日盛銀行,"  6/1-30單筆滿$3,000贈150  6/1-30單筆滿$15,000贈900  週五單筆滿$8,000贈600 "
23,匯豐銀行,  6/1-30指定卡別  最高回饋6% 
24,visaxpostcsr,  週三單筆滿$1500贈200 
25,合作金庫,"  6/1-30單筆滿$3,000贈100  6/1-30單筆滿$30,000贈2,000 "
26,陽信銀行,"  6/1-30單筆滿$3,000贈150  6/10-17累積滿$8,000贈400  6/10-17累積滿$15,000贈1000  6/18-21累積滿$25,000贈2000 "
27,台北富邦銀行,"  6/1-30J POINTS卡(含JU卡)筆筆3%回饋  6/8-18單筆消費滿$1,000贈$100 "
28,台中銀行,"  6/1-30單筆滿$1,500贈150  6/18-21累積滿$6,000贈720 "
29,彰化銀行,"  6/1-30單筆滿$6,000贈300  6/1-30單筆滿$30,000贈2,100 "
30,tbb,"  6/18-21單筆滿16,800贈1,150  6/1-30單筆滿3,000贈150  6/1-30單筆滿10,000贈550  6/1-30單筆滿25,000贈1,500 "
31,臺灣銀行,"  6/1-30單筆滿8,000贈300  6/1-30單筆滿3,000贈150 "
32,高雄銀行,"  6/1-30單筆滿8,000贈450  6/1-30單筆滿20,000贈1,200 "
33,JCB,  6/1-30週週單筆滿2000贈200 
34,momo,"  6/10-21單筆滿$30,000贈3,000 "
35,711,  6/10-24單筆滿$399贈黑糖珍珠撞奶 
36,linepay,  6/17-18單筆滿$3000享3%  6/17-18單筆滿$6000再享5%
37,街口支付, 6/16-18單筆滿$618享8%  6/1-30街口聯名卡筆筆最高4%  6/1-30帳戶付款筆筆1%回饋無上限
38,visa, 6/1-30單筆滿500贈100
39,easywallet,  6/1-6/24滿$2500請你吃海洋珍珠堡
40,HAPPYGO,  6/10-6/21兌點達300抽12000點  6/10-6/21首次兌點抽100點或獨家牛奶鍋
